Medicine_ID,Medicine_Name,Category,Batch_No,Manufacture_Date,Expiry_Date,Quantity,Unit_Price,Base_Location,Supplier,Stock_Status,Place
MED001,Paracetamol 500mg,Tablet,BT-PAR-2401,2024-01-15,2026-01-14,450,1.20,North Command Medical Store,Sun Pharma,Expired,Srinagar
MED002,Amoxicillin 250mg,Capsule,BT-AMX-2402,2024-02-10,2026-02-09,320,2.80,Western Base Hospital,Cipla,Expired,Jodhpur
MED003,Cetirizine 10mg,Tablet,BT-CET-2403,2024-03-05,2026-09-04,500,1.50,Eastern Supply Depot,Dr. Reddy's,Safe,Kolkata
MED004,Azithromycin 500mg,Tablet,BT-AZI-2404,2024-04-12,2026-10-11,210,6.20,Central Armed Forces Clinic,Lupin,Safe,Bhopal
MED005,Ibuprofen 400mg,Tablet,BT-IBU-2405,2024-05-08,2026-05-07,390,1.90,Southern Naval Medical Unit,Sun Pharma,Near Expiry,Chennai
MED006,Metformin 500mg,Tablet,BT-MET-2406,2024-06-18,2027-06-17,610,2.10,Air Command Medical Center,Abbott,Safe,Bengaluru
MED007,Omeprazole 20mg,Capsule,BT-OME-2407,2024-07-20,2026-07-19,280,3.75,Northern Border Health Post,Torrent Pharma,Near Expiry,Leh
MED008,ORS Sachet,Rehydration,BT-ORS-2408,2024-08-02,2026-08-01,700,4.40,Desert Field Dispensary,Zydus,Near Expiry,Bikaner
MED009,Vitamin C 500mg,Tablet,BT-VTC-2409,2024-09-14,2027-09-13,560,2.00,Coastal Command Infirmary,Mankind,Safe,Kochi
MED010,Insulin Regular 100IU/ml,Injection,BT-INS-2410,2024-10-01,2026-04-30,95,145.00,Strategic Medical Warehouse,Novo Nordisk,Expired,Delhi
MED011,Saline 500ml,IV Fluid,BT-SAL-2411,2024-11-11,2027-11-10,350,32.00,Western Base Hospital,Baxter,Safe,Jodhpur
MED012,Crocin Syrup 60ml,Syrup,BT-CRC-2412,2024-12-05,2026-12-04,140,28.00,Eastern Supply Depot,GSK,Safe,Kolkata
MED013,Doxycycline 100mg,Capsule,BT-DOX-2501,2025-01-09,2027-01-08,260,3.10,High Altitude Medical Camp,Cipla,Safe,Tawang
MED014,Diclofenac Gel 30g,Ointment,BT-DIC-2502,2025-02-15,2027-02-14,180,42.00,Southern Naval Medical Unit,Volini,Safe,Chennai
MED015,Atorvastatin 10mg,Tablet,BT-ATO-2503,2025-03-01,2026-08-31,300,5.80,Air Command Medical Center,Sun Pharma,Near Expiry,Bengaluru
MED016,Losartan 50mg,Tablet,BT-LOS-2504,2025-04-07,2027-04-06,410,4.10,Northern Border Health Post,Lupin,Safe,Leh
MED017,Multivitamin Capsules,Capsule,BT-MVC-2505,2025-05-13,2026-11-12,240,3.60,Central Armed Forces Clinic,Himalaya,Safe,Bhopal
MED018,Pantoprazole 40mg,Tablet,BT-PAN-2506,2025-06-25,2027-06-24,520,4.90,Strategic Medical Warehouse,Alkem,Safe,Delhi
MED019,Cefixime 200mg,Tablet,BT-CEF-2507,2025-07-04,2026-07-03,190,8.50,Mountain Rescue Unit,Dr. Reddy's,Near Expiry,Gangtok
MED020,Glucose D Powder 100g,Nutrition,BT-GLU-2508,2025-08-16,2026-08-15,330,18.00,Desert Field Dispensary,Dabur,Near Expiry,Bikaner
MED021,Hydrocortisone Cream 15g,Ointment,BT-HYD-2509,2025-09-09,2027-09-08,125,36.00,Coastal Command Infirmary,Glenmark,Safe,Kochi
MED022,Amikacin 500mg,Injection,BT-AMI-2510,2025-10-21,2027-04-20,88,54.00,Western Forward Aid Station,Abbott,Safe,Barmer
MED023,Ranitidine 150mg,Tablet,BT-RAN-2511,2025-11-18,2026-05-17,275,2.70,Field Trauma Center,Sun Pharma,Expired,Pune
MED024,Loperamide 2mg,Tablet,BT-LOP-2512,2025-12-02,2027-12-01,210,1.85,Eastern Supply Depot,Mankind,Safe,Kolkata
MED025,Levocetirizine 5mg,Tablet,BT-LVC-2601,2026-01-10,2028-01-09,460,1.75,Air Command Medical Center,Cipla,Safe,Bengaluru
